batch,length,heads,dim,BT,BS,BK,BV,DRAM->SRAM,SRAM->DRAM,MAC,SRAM-size,arithmetic-intensity
1,32,8,64,16,16,16,16,1048576,262144,3211264,5376,4.9
1,32,8,64,16,16,16,32,720896,262144,2392064,7424,4.866666666666666
1,32,8,64,16,16,16,64,557056,262144,1982464,11520,4.84
1,32,8,64,16,16,32,16,851968,131072,2392064,7424,4.866666666666666
1,32,8,64,16,16,32,32,524288,131072,1589248,9472,4.85
1,32,8,64,16,16,32,64,360448,131072,1187840,13568,4.833333333333333
1,32,8,64,16,16,64,16,753664,65536,1982464,11520,4.84
1,32,8,64,16,16,64,32,425984,65536,1187840,13568,4.833333333333333
1,32,8,64,16,16,64,64,262144,65536,790528,17664,4.825
1,32,8,64,32,32,16,16,786432,262144,4325376,13312,8.25
1,32,8,64,32,32,16,32,524288,262144,3211264,17408,8.166666666666666
1,32,8,64,32,32,16,64,393216,262144,2654208,25600,8.1
1,32,8,64,32,32,32,16,655360,131072,3211264,17408,8.166666666666666
1,32,8,64,32,32,32,32,393216,131072,2129920,21504,8.125
1,32,8,64,32,32,32,64,262144,131072,1589248,29696,8.083333333333334
1,32,8,64,32,32,64,16,589824,65536,2654208,25600,8.1
1,32,8,64,32,32,64,32,327680,65536,1589248,29696,8.083333333333334
1,32,8,64,32,32,64,64,196608,65536,1056768,37888,8.0625
2,32,8,64,16,16,16,16,2097152,524288,6422528,5376,4.9
2,32,8,64,16,16,16,32,1441792,524288,4784128,7424,4.866666666666666
2,32,8,64,16,16,16,64,1114112,524288,3964928,11520,4.84
2,32,8,64,16,16,32,16,1703936,262144,4784128,7424,4.866666666666666
2,32,8,64,16,16,32,32,1048576,262144,3178496,9472,4.85
2,32,8,64,16,16,32,64,720896,262144,2375680,13568,4.833333333333333
2,32,8,64,16,16,64,16,1507328,131072,3964928,11520,4.84
2,32,8,64,16,16,64,32,851968,131072,2375680,13568,4.833333333333333
2,32,8,64,16,16,64,64,524288,131072,1581056,17664,4.825
2,32,8,64,32,32,16,16,1572864,524288,8650752,13312,8.25
2,32,8,64,32,32,16,32,1048576,524288,6422528,17408,8.166666666666666
2,32,8,64,32,32,16,64,786432,524288,5308416,25600,8.1
2,32,8,64,32,32,32,16,1310720,262144,6422528,17408,8.166666666666666
2,32,8,64,32,32,32,32,786432,262144,4259840,21504,8.125
2,32,8,64,32,32,32,64,524288,262144,3178496,29696,8.083333333333334
2,32,8,64,32,32,64,16,1179648,131072,5308416,25600,8.1
2,32,8,64,32,32,64,32,655360,131072,3178496,29696,8.083333333333334
2,32,8,64,32,32,64,64,393216,131072,2113536,37888,8.0625
2,64,8,64,16,16,16,16,6291456,1048576,21233664,5376,5.785714285714286
2,64,8,64,16,16,16,32,4456448,1048576,15859712,7424,5.761904761904762
2,64,8,64,16,16,16,64,3538944,1048576,13172736,11520,5.742857142857143
2,64,8,64,16,16,32,16,4980736,524288,15859712,7424,5.761904761904762
2,64,8,64,16,16,32,32,3145728,524288,10551296,9472,5.75
2,64,8,64,16,16,32,64,2228224,524288,7897088,13568,5.738095238095238
2,64,8,64,16,16,64,16,4325376,262144,13172736,11520,5.742857142857143
2,64,8,64,16,16,64,32,2490368,262144,7897088,13568,5.738095238095238
2,64,8,64,16,16,64,64,1572864,262144,5259264,17664,5.732142857142857
2,64,8,64,32,32,16,16,4194304,1048576,25690112,13312,9.8
2,64,8,64,32,32,16,32,2883584,1048576,19136512,17408,9.733333333333333
2,64,8,64,32,32,16,64,2228224,1048576,15859712,25600,9.68
2,64,8,64,32,32,32,16,3407872,524288,19136512,17408,9.733333333333333
2,64,8,64,32,32,32,32,2097152,524288,12713984,21504,9.7
2,64,8,64,32,32,32,64,1441792,524288,9502720,29696,9.666666666666666
2,64,8,64,32,32,64,16,3014656,262144,15859712,25600,9.68
2,64,8,64,32,32,64,32,1703936,262144,9502720,29696,9.666666666666666
2,64,8,64,32,32,64,64,1048576,262144,6324224,37888,9.65
